<b>T1</b>,I,Q,A(V),UFNP(rad/x),exported by
0.0,0.0010738869890084511,-0.00014269997984520883,0.0010833266125271088,-0.13210780832137978,boris
500.0,0.0010654852617719695,-0.0001255525506521983,0.0010728570669145798,-0.11729512941879094,boris
1000.0,0.0010604298511973547,-0.00012498701997923765,0.0010677702114564416,-0.11732319862503646,boris
1500.0,0.001062540865376879,-0.00012103983365061653,0.0010694127977193912,-0.11342651327897127,boris
2000.0,0.0010613972097504147,-0.00011126130111119642,0.001067212778217597,-0.10444387836922843,boris
2500.0,0.0010461573321502043,-8.991294151901121e-05,0.0010500140478413773,-0.08573522183679219,boris
3000.0,0.0010518922683189849,-9.500914925700966e-05,0.0010561742671509281,-0.09007770580782272,boris
3500.0,0.0010463921541404428,-8.386761900422971e-05,0.0010497477400614468,-0.07997835380629337,boris
4000.0,0.0010358687927450303,-8.552582195828664e-05,0.0010393934875708463,-0.0823774923107418,boris
4500.0,0.001041874540636062,-6.921821275298957e-05,0.0010441713074981153,-0.06633873954714639,boris
5000.0,0.0010362390357289855,-8.137966763021458e-05,0.001039429646234964,-0.07837282434694953,boris
5500.0,0.0010387716622535803,-7.526949687507593e-05,0.0010414951096672962,-0.07233368000319801,boris
6000.0,0.001025332367313532,-7.070795421662738e-05,0.0010277675215000094,-0.06885200201693562,boris
6500.0,0.0010252828597682503,-6.783177130691875e-05,0.00102752425359852,-0.06606280663424234,boris
7000.0,0.0010310513752219898,-6.917806474738818e-05,0.0010333695094153642,-0.06699427368574216,boris
7500.0,0.0010199881378024711,-6.080183222279768e-05,0.00102179873950764,-0.05953987654446132,boris
8000.0,0.001022657283364874,-4.776136971144817e-05,0.0010237719803041778,-0.046669290227390865,boris
8500.0,0.0010234510067975787,-5.7373680199362514e-05,0.0010250579020204644,-0.0560004257590709,boris
9000.0,0.0010258570127930763,-5.4916036343853444e-05,0.0010273258401035444,-0.05348081532638497,boris
9500.0,0.001008210323242489,-4.8120305591565345e-05,0.001009358023549102,-0.047692247270887105,boris
10000.0,0.001017948308295278,-4.1437419315977e-05,0.0010187913515930466,-0.04068433911268447,boris
10500.0,0.00102143022484217,-5.464533333798116e-05,0.001022890911425429,-0.053447888473210844,boris
11000.0,0.001012172575438838,-3.066569699961762e-05,0.0010126370067516607,-0.030287640863845885,boris
11500.0,0.001009602877138578,-4.0807112639318e-05,0.0010104272314068205,-0.04039698500804325,boris
12000.0,0.001017694838815656,-3.847051981766821e-05,0.0010184217033464406,-0.03778363585058343,boris
12500.0,0.0010182393954186867,-4.2978956034164006e-05,0.001019146043040152,-0.04218404788293694,boris
13000.0,0.001000759165788334,-3.579636481767773e-05,0.0010013991649904259,-0.035753966947329976,boris
13500.0,0.0010047492539620368,-3.4397673489491006e-05,0.0010053378851305461,-0.03422171681468438,boris
14000.0,0.001022044639614658,-3.619162187473501e-05,0.0010226852296082993,-0.0353962092096929,boris
14500.0,0.0010043003105757412,-3.580526066026138e-05,0.0010049383715002027,-0.03563685245893893,boris
15000.0,0.0010136096264363702,-3.211948110006585e-05,0.0010141184032797233,-0.03167761619853023,boris
15500.0,0.0010025902753862722,-2.7185166540417668e-05,0.0010029587696306123,-0.027108289188706974,boris
16000.0,0.001004598602829813,-3.5397470791615694e-05,0.0010052220320635912,-0.03522086584267912,boris
16500.0,0.000999317185053452,-3.079761542071527e-05,0.0009997916430230637,-0.03080890733622042,boris
17000.0,0.001008545967801163,-2.666701472133878e-05,0.0010088984581424101,-0.02643489103688694,boris
17500.0,0.0010084001413280743,-2.6570817838326363e-05,0.001008750144183919,-0.026343382930244786,boris
18000.0,0.0010134261763859109,-1.840456978140869e-05,0.001013593282916282,-0.018158744325097557,boris
18500.0,0.001014535589084727,-3.217879168205216e-05,0.001015045780324026,-0.03170712564812819,boris
19000.0,0.001002702718967799,-2.0439077339121874e-05,0.0010029110122577634,-0.02038116263094243,boris
19500.0,0.0010006086193140294,-2.4666126333941478e-05,0.0010009125970002826,-0.02464613169002024,boris
20000.0,0.0010002071586656391,-1.948660199170884e-05,0.0010003969651609177,-0.01948010156891374,boris
20500.0,0.0010030651556591306,-2.8564622701486403e-05,0.00100347179540212,-0.02846964099952588,boris
21000.0,0.000995844356550431,-2.039780352074486e-05,0.0009960532379656283,-0.02048005942963263,boris
21500.0,0.000992241634884819,-1.848410501199368e-05,0.0009924137867527805,-0.0186264783219624,boris
22000.0,0.0009968717848187212,-2.964617486710778e-05,0.0009973125142360912,-0.029730442831244604,boris
22500.0,0.0010041094455250314,-6.770796380400533e-06,0.0010041322732968056,-0.006742983837524409,boris
23000.0,0.0010019928271657378,-1.9961983277764326e-05,0.0010021916515656922,-0.01991964654128574,boris
23500.0,0.0010048525897988464,-2.366494767730645e-05,0.00100513121380943,-0.023546313405307787,boris
24000.0,0.0010048155616254023,-1.2934494102520956e-05,0.0010048988078519452,-0.012871794831022899,boris
24500.0,0.001003354137825549,-7.334746049255251e-06,0.0010033809467950136,-0.007310096328003288,boris
25000.0,0.0009952351818186722,1.7953722541314892e-07,0.0009952351980126411,0.000180396781329119,boris
25500.0,0.0009977479202538443,-1.0956388077258403e-05,0.0009978080751379852,-0.010980677077684148,boris
26000.0,0.0009906548020047858,-1.0607997869016047e-05,0.0009907115959520865,-0.010707657630315585,boris
26500.0,0.000994803865766785,-9.223770440647497e-06,0.0009948466260111058,-0.009271683044404566,boris
27000.0,0.0009986601030062333,-3.849853392466917e-06,0.0009986675236071131,-0.003854999623936324,boris
